30	0.066872	0.0419366	0.0918073	0.0249354
60	0.0557333	0.0379004	0.0735662	0.0178329
120	0.0564105	0.0437345	0.0690864	0.0126759
240	0.0567271	0.048234	0.0652202	0.00849308
480	0.056591	0.0506023	0.0625796	0.00598865
960	0.0517526	0.047542	0.0559632	0.00421057
1920	0.0496795	0.0468044	0.0525546	0.0028751
3840	0.0547651	0.0526235	0.0569068	0.00214163
7680	0.0544151	0.0529091	0.0559211	0.001506
15360	0.0536423	0.0525922	0.0546924	0.00105011
30720	0.0546261	0.0538723	0.05538	0.000753883
61440	0.054964	0.0544303	0.0554977	0.000533748
122880	0.054207	0.0538324	0.0545816	0.000374601
245760	0.0544156	0.0541498	0.0546815	0.000265861
491520	0.0543468	0.0541589	0.0545347	0.000187855
983040	0.0544952	0.0543623	0.0546281	0.000132896
1966080	0.0544226	0.0543287	0.0545165	9.39182e-05
3932160	0.0544068	0.0543403	0.0544732	6.64369e-05
7864320	0.0544063	0.0543593	0.0544532	4.69322e-05
0.0692719
